"Date"|"Description"|"RowId"|"Name"|"FullName"|"Amount"|"AccountName"|"Category"
"2013-07-30 10:59:00"|Metlife|11|Auto|Expenses:Insurance:Auto|35500|Chase Sapphire Visa 8471|Bills & Utilities
"2014-12-14 10:59:00"|Geico|11|Auto|Expenses:Insurance:Auto|58850|Chase Sapphire Visa 8471|Bills & Utilities
"2015-01-18 10:59:00"|Geico Auto|11|Auto|Expenses:Insurance:Auto|-13915|Chase Sapphire Visa 8471|Bills & Utilities
"2014-07-03 10:59:00"|Nbic Insurance Agent|40|Cedar Home Insurance|Expenses:Insurance:Cedar Home Insurance|192000|Chase Sapphire Visa 8471|Bills & Utilities
"2015-06-07 10:59:00"|Narragansett Bay Insuran|40|Cedar Home Insurance|Expenses:Insurance:Cedar Home Insurance|188700|Chase Sapphire Visa 8471|Bills & Utilities
"2016-05-17 10:59:00"|Travelers Insurance|40|Cedar Home Insurance|Expenses:Insurance:Cedar Home Insurance|114900|Chase Sapphire Visa 8471|Bills & Utilities
"2016-06-06 10:59:00"|Narragansett Bay Insuran|40|Cedar Home Insurance|Expenses:Insurance:Cedar Home Insurance|202500|Chase Sapphire Visa 8471|Bills & Utilities
"2013-05-16 10:59:00"|American Water|217|Water|Expenses:Utilities:Basking Ridge and Tewksbury:Water|18253|Chase Sapphire Visa 8471|Bills & Utilities
"2013-07-17 10:59:00"|American Water|217|Water|Expenses:Utilities:Basking Ridge and Tewksbury:Water|34187|Chase Sapphire Visa 8471|Bills & Utilities
"2017-06-27 10:59:00"|Iphone CITIZ*PMT 22 Of 24|135|Mobile Phone|Expenses:Utilities:Mobile Phone|3658|Chase Sapphire Visa 8471|Bills & Utilities
"2017-07-27 10:59:00"|Iphone CITIZ*PMT 23 Of 24|135|Mobile Phone|Expenses:Utilities:Mobile Phone|3658|Chase Sapphire Visa 8471|Bills & Utilities
"2013-05-17 10:59:00"|Verizon|29|Cable|Expenses:Utilities:Basking Ridge and Tewksbury:Cable|14701|Chase Sapphire Visa 8471|Bills & Utilities
"2013-06-18 10:59:00"|Verizon|29|Cable|Expenses:Utilities:Basking Ridge and Tewksbury:Cable|14701|Chase Sapphire Visa 8471|Bills & Utilities
"2013-07-17 10:59:00"|Verizon|29|Cable|Expenses:Utilities:Basking Ridge and Tewksbury:Cable|14694|Chase Sapphire Visa 8471|Bills & Utilities
"2013-08-05 10:59:00"|Verizon|29|Cable|Expenses:Utilities:Basking Ridge and Tewksbury:Cable|7489|Chase Sapphire Visa 8471|Bills & Utilities
"2013-08-18 10:59:00"|Verizon|29|Cable|Expenses:Utilities:Basking Ridge and Tewksbury:Cable|14694|Chase Sapphire Visa 8471|Bills & Utilities
"2013-09-17 10:59:00"|Verizon|29|Cable|Expenses:Utilities:Basking Ridge and Tewksbury:Cable|14694|Chase Sapphire Visa 8471|Bills & Utilities
"2013-10-17 10:59:00"|Verizon|29|Cable|Expenses:Utilities:Basking Ridge and Tewksbury:Cable|16565|Chase Sapphire Visa 8471|Bills & Utilities
"2013-11-19 10:59:00"|Verizon|29|Cable|Expenses:Utilities:Basking Ridge and Tewksbury:Cable|18709|Chase Sapphire Visa 8471|Bills & Utilities
"2013-12-17 10:59:00"|Verizon|29|Cable|Expenses:Utilities:Basking Ridge and Tewksbury:Cable|14713|Chase Sapphire Visa 8471|Bills & Utilities
"2014-01-17 10:59:00"|Verizon|29|Cable|Expenses:Utilities:Basking Ridge and Tewksbury:Cable|15795|Chase Sapphire Visa 8471|Bills & Utilities
"2014-02-18 10:59:00"|Verizon|29|Cable|Expenses:Utilities:Basking Ridge and Tewksbury:Cable|15795|Chase Sapphire Visa 8471|Bills & Utilities
"2014-03-18 10:59:00"|Verizon|29|Cable|Expenses:Utilities:Basking Ridge and Tewksbury:Cable|16128|Chase Sapphire Visa 8471|Bills & Utilities
"2014-04-17 10:59:00"|Verizon|29|Cable|Expenses:Utilities:Basking Ridge and Tewksbury:Cable|16133|Chase Sapphire Visa 8471|Bills & Utilities
"2014-05-18 10:59:00"|Verizon|29|Cable|Expenses:Utilities:Basking Ridge and Tewksbury:Cable|16133|Chase Sapphire Visa 8471|Bills & Utilities
"2014-06-17 10:59:00"|Verizon|29|Cable|Expenses:Utilities:Basking Ridge and Tewksbury:Cable|16250|Chase Sapphire Visa 8471|Bills & Utilities
"2014-06-18 10:59:00"|Cablevision|29|Cable|Expenses:Utilities:Basking Ridge and Tewksbury:Cable|13183|Chase Sapphire Visa 8471|Bills & Utilities
